Date,Open,High,Low,Close,Adj Close,Volume
4/27/2018,1.00205,1.00848,0.995122,1.00415,1.00415,4060179968
4/28/2018,1.00078,1.00881,0.991015,0.999335,0.999335,4066050048
4/29/2018,0.998866,1.01378,0.992304,0.998016,0.998016,5167799808
4/30/2018,0.997553,1.01283,0.992921,0.998919,0.998919,4498440192
5/1/2018,1.00025,1.01201,0.993633,1.00349,1.00349,3901110016
5/2/2018,1.00062,1.00465,0.992736,0.997464,0.997464,3711889920
5/3/2018,0.996267,1.00527,0.99392,0.997973,0.997973,4307829760
5/4/2018,1.00581,1.00581,0.992204,0.998561,0.998561,3844979968
5/5/2018,0.999448,1.00132,0.992373,0.996284,0.996284,3848780032
5/6/2018,0.995906,1.00815,0.992321,0.997202,0.997202,3948859904
5/7/2018,0.995351,1.00693,0.99085,0.997237,0.997237,4137240064
5/8/2018,0.998745,1.00828,0.994675,1.00212,1.00212,3317769984
5/9/2018,1.00202,1.00699,0.993117,1.00051,1.00051,3236689920
5/10/2018,0.999422,1.01113,0.995984,1.00134,1.00134,3430200064
5/11/2018,1.00407,1.01363,0.982996,1.00225,1.00225,4733060096
5/12/2018,0.99975,1.01934,0.984735,1.0011,1.0011,4539990016
5/13/2018,1.00049,1.00652,0.993248,1.00325,1.00325,3179099904
5/14/2018,1.00197,1.01107,0.989507,1.00127,1.00127,3820280064
5/15/2018,1.00054,1.01302,0.993853,1.00114,1.00114,3315440128
5/16/2018,1.00215,1.01343,0.990384,0.99995,0.99995,3238190080
5/17/2018,1.00062,1.0077,0.996747,1.00019,1.00019,3026749952
5/18/2018,1.00249,1.00435,0.993732,1.00111,1.00111,3051709952
5/19/2018,1.00021,1.00695,0.99425,1.00036,1.00036,2569299968
5/20/2018,1.00147,1.00466,0.990756,0.999117,0.999117,2610939904
5/21/2018,0.999592,1.00754,0.996845,1.00297,1.00297,2406449920
5/22/2018,1.00313,1.00649,0.996062,1.00297,1.00297,2417590016
5/23/2018,1.00077,1.01392,0.996053,1.00402,1.00402,3360600064
5/24/2018,1.00135,1.01249,0.993728,0.998818,0.998818,3122710016
5/25/2018,0.999292,1.014,0.990553,1.00044,1.00044,2375610112
5/26/2018,1.00297,1.00865,0.982905,0.99989,0.99989,1872140032
5/27/2018,1.00176,1.00685,0.991551,0.999182,0.999182,1885900032
5/28/2018,1.00057,1.01073,0.987478,1.00249,1.00249,2582710016
5/29/2018,0.99927,1.00981,0.98579,1.00068,1.00068,3003919872
5/30/2018,0.999487,1.00982,0.995158,0.999727,0.999727,2429060096
5/31/2018,1.002,1.00748,0.994691,0.998003,0.998003,2613339904
6/1/2018,0.999088,1.00865,0.994694,1.00099,1.00099,2486080000
6/2/2018,1.00018,1.00564,0.986231,0.99353,0.99353,3187569920
6/3/2018,0.99203,1.00376,0.986847,1.0001,1.0001,2796300032
6/4/2018,0.997714,1.0068,0.995257,1.00052,1.00052,2798279936
6/5/2018,0.999263,1.01146,0.990879,1.00102,1.00102,2796069888
6/6/2018,0.997917,1.01261,0.990877,1.00069,1.00069,2508359936
6/7/2018,0.999463,1.00573,0.996242,0.99875,0.99875,2554540032
6/8/2018,0.99994,1.00839,0.99433,1.00179,1.00179,2219579904
6/9/2018,1.00206,1.01221,0.999194,1.00608,1.00608,2006880000
6/10/2018,1.00937,1.01532,0.989031,0.998215,0.998215,3845029888
6/11/2018,1.0053,1.01029,0.991656,1.00193,1.00193,2913220096
6/12/2018,1.00404,1.01909,0.998669,1.00077,1.00077,2702340096
6/13/2018,1.00475,1.02577,0.994316,1.00353,1.00353,3056750080
6/14/2018,1.00195,1.01196,0.993035,1.00395,1.00395,3104209920
6/15/2018,1.00163,1.01316,0.995103,1.00695,1.00695,2376110080
6/16/2018,1.00387,1.01248,0.987984,1.00424,1.00424,1797939968
6/17/2018,1.00487,1.00713,0.998453,1.00548,1.00548,1548390016
6/18/2018,1.00339,1.01118,0.991164,1.00283,1.00283,2073910016
6/19/2018,1.00363,1.00634,0.994846,1.00022,1.00022,2253370112
6/20/2018,1.00171,1.01021,0.994434,0.998829,0.998829,2215259904
6/21/2018,1.00054,1.00598,0.994075,1.00053,1.00053,2017639936
6/22/2018,1.00124,1.02637,0.990974,1.003,1.003,3747810048
6/23/2018,1.00137,1.0127,0.990621,1.00198,1.00198,2500859904
6/24/2018,0.998875,1.02249,0.971736,1.0051,1.0051,3952620032
6/25/2018,1.00487,1.00891,0.984719,1.00062,1.00062,3956019968
6/26/2018,0.998834,1.00964,0.990512,1.00056,1.00056,2025110016
6/27/2018,1.00239,1.00621,0.981484,0.997935,0.997935,2055360000
6/28/2018,0.998823,1.0044,0.989789,0.997193,0.997193,2331049984
6/29/2018,0.996047,1.0117,0.990261,1.00333,1.00333,2482319872
6/30/2018,1.00301,1.01014,0.992682,0.999192,0.999192,2540620032
7/1/2018,0.997323,1.00605,0.997016,0.998821,0.998821,3653040128
7/2/2018,0.999402,1.00274,0.993193,0.998859,0.998859,2787729920
7/3/2018,0.997445,1.00368,0.995343,1.00032,1.00032,2786769920
7/4/2018,0.998857,1.00374,0.993437,0.999195,0.999195,2638139904
7/5/2018,1.00117,1.01113,0.999482,1.00614,1.00614,3606159872
7/6/2018,1.00701,1.01124,0.998692,1.00316,1.00316,2460250112
7/7/2018,1.0017,1.00788,0.989028,1.00621,1.00621,2134790016
7/8/2018,1.00461,1.00951,1.00127,1.00425,1.00425,2142080000
7/9/2018,1.0046,1.01418,1.00142,1.0075,1.0075,2358560000
7/10/2018,1.00731,1.0116,0.997819,1.0012,1.0012,2974149888
7/11/2018,1.00091,1.01079,0.998898,1.00116,1.00116,2524790016
7/12/2018,1.00228,1.00761,0.994467,0.99907,0.99907,2404160000
7/13/2018,0.999377,1.01003,0.995791,1.00142,1.00142,2279970048
7/14/2018,1.00225,1.0068,0.998031,1.00265,1.00265,1620770048
7/15/2018,1.00238,1.00441,0.996664,0.998352,0.998352,1919559936
7/16/2018,0.998966,1.00218,0.988297,0.999139,0.999139,2864659968
7/17/2018,1.00231,1.00584,0.979782,1.00013,1.00013,3620499968
7/18/2018,0.999476,1.00532,0.993404,1.00221,1.00221,4082030080
7/19/2018,1.00081,1.00417,0.993331,0.998088,0.998088,3188349952
7/20/2018,0.998921,1.00717,0.994279,1.00103,1.00103,3072349952
7/21/2018,1.0013,1.00422,0.995731,1.00004,1.00004,2164900096
7/22/2018,1.00122,1.01062,0.994756,0.999843,0.999843,2209939968
7/23/2018,1.00083,1.00083,0.991952,0.997496,0.997496,2808819968
7/24/2018,0.997918,1.00073,0.99339,0.996505,0.996505,4417310208
7/25/2018,0.992372,1.00207,0.985008,0.998791,0.998791,3514560000
7/26/2018,0.99674,1.00375,0.992867,0.997951,0.997951,2894500096
7/27/2018,0.999553,1.00439,0.991179,0.997118,0.997118,3092310016
7/28/2018,0.995606,1.00269,0.995606,0.997887,0.997887,2298899968
7/29/2018,0.996403,1.00161,0.995105,0.998919,0.998919,2404489984
7/30/2018,0.999317,1.00715,0.993987,0.99891,0.99891,4311410000
7/31/2018,0.999708,1.00755,0.99534,0.999507,0.999507,3253100000
8/1/2018,0.999215,1.00445,0.994754,0.999409,0.999409,3059190000
